year,column,observed,total,percent
2025,EXPWB,0,29966,0.0
2000,FAILMAT,0,6214,0.0
2003,FAILMAT,0,10791,0.0
2006,FAILMAT,0,19604,0.0
2009,FAILMAT,0,25887,0.0
2012,FAILMAT,16601,25313,65.6
2015,FAILMAT,0,6736,0.0
2018,FAILMAT,0,35943,0.0
2022,FAILMAT,0,30800,0.0
2025,FAILMAT,0,29966,0.0
2000,FAMSTRUC,5865,6214,94.4
2003,FAMSTRUC,10476,10791,97.1
2006,FAMSTRUC,0,19604,0.0
2009,FAMSTRUC,25569,25887,98.8
2012,FAMSTRUC,23797,25313,94.0
2015,FAMSTRUC,0,6736,0.0
2018,FAMSTRUC,0,35943,0.0
2022,FAMSTRUC,0,30800,0.0
2025,FAMSTRUC,0,29966,0.0
2000,FAMSUP,0,6214,0.0
2003,FAMSUP,0,10791,0.0
2006,FAMSUP,0,19604,0.0
2009,FAMSUP,0,25887,0.0
2012,FAMSUP,0,25313,0.0
2015,FAMSUP,0,6736,0.0
2018,FAMSUP,0,35943,0.0
2022,FAMSUP,26796,30800,87.0
2025,FAMSUP,26556,29966,88.6
2000,FCFMLRTY,0,6214,0.0
2003,FCFMLRTY,0,10791,0.0
2006,FCFMLRTY,0,19604,0.0
2009,FCFMLRTY,0,25887,0.0
2012,FCFMLRTY,0,25313,0.0
2015,FCFMLRTY,0,6736,0.0
2018,FCFMLRTY,34153,35943,95.0
2022,FCFMLRTY,29070,30800,94.4
2025,FCFMLRTY,0,29966,0.0
2000,FEELSAFE,0,6214,0.0
2003,FEELSAFE,0,10791,0.0
2006,FEELSAFE,0,19604,0.0
2009,FEELSAFE,0,25887,0.0
2012,FEELSAFE,0,25313,0.0
2015,FEELSAFE,0,6736,0.0
2018,FEELSAFE,0,35943,0.0
2022,FEELSAFE,0,30800,0.0
2025,FEELSAFE,28601,29966,95.4
2000,FLCONFIN,0,6214,0.0
2003,FLCONFIN,0,10791,0.0
2006,FLCONFIN,0,19604,0.0
2009,FLCONFIN,0,25887,0.0
2012,FLCONFIN,0,25313,0.0
2015,FLCONFIN,0,6736,0.0
